Contig	A5-S03	A5-S04	KW1-S05	KW1-S08	KW1-S11	KW1-S15	KW1-S21
KW1-S11__k141_8194612	0.98015875	2.4665532	2.1292517	0.9461451	1.8424037	2.133787	2.0929706
KW1-S11__k141_2161483	1.3764706	0.9467492	1.6470588	2.5684211	2.987616	2.9065015	1.783901
KW1-S08__k141_8318210	0.42857143	1.3510205	1.7714286	1.3520408	0.91938776	0.2857143	0.85714287
A5-S03__k141_674694	5.565056	0	0.28624535	0.057827342	0	0.057827342	0.057827342
KW1-S08__k141_2219687	0.8988764	0.52434456	0.6966292	2.7891922	0.82397	1.5200642	0.5992509
KW1-S11__k141_5437694	0.37533513	1.2511171	0.50044686	1.3762288	1.5540662	1.6264522	1.7479893
KW1-S21__k141_2745705	2.061508	2.6813974	2.7300754	4.717949	4.7939405	4.387029	4.2930565
KW1-S05__k141_3617445	9.62876	10.966985	10.705062	8.203961	4.637564	8.881145	8.876009
KW1-S21__k141_7879010	1.4714714	0.7707708	1.1911912	1.8218218	0.4204204	1.8918918	1.5675676
A5-S03__k141_6592259	2.9402769	1.0721049	1.631464	1.5892206	1.0036416	0.69045883	1.9613984
KW1-S11__k141_4951589	1.467226	1.8316728	0.9543786	2.2947037	2.835868	3.564237	2.7309911
KW1-S05__k141_133888	1.7918088	2.1467576	3.8577929	2.9852104	2.6166098	3.453925	2.7337885
KW1-S15__k141_10426531	0.32180852	0.53856385	0.0930851	1.6702127	0.93085104	1.3863032	0.49202126
KW1-S05__k141_156011	0.3783784	0.8108108	1.8540541	0.2981982	0.12612613	0.03153153	0.6171171
A5-S04__k141_4352016	0.5606116	2.9286494	1.1212232	0.9737896	0.9683291	0.84382963	0.5606116
KW1-S08__k141_3323850	0.5296912	0.77593035	0.43705463	1.9144893	0.76801264	0.8867775	0.6413302
A5-S03__k141_4690369	12.365836	17.016918	17.37111	26.618338	25.021465	28.88521	27.409315
KW1-S15__k141_7620946	0.6508728	1.4058603	0.6109726	0.9301746	1.3534913	1.8871571	0.6359102
A5-S03__k141_2212269	4.433236	1.5723794	2.311772	2.533278	1.3082362	1.0819467	2.8835275
KW1-S11__k141_2400988	1.1196319	1.0204499	2.3997955	1.1451943	2.378323	0.4182004	1.502045
KW1-S15__k141_7137871	1.5849056	1.1320754	0.754717	1.2269542	1.3584906	1.5795149	0.33962265
KW1-S15__k141_2422122	0.7036125	0.8045977	1.0045156	3.0537767	2.2791462	4.628079	2.7586207
KW1-S05__k141_1268825	5.85766	6.8860073	11.350422	8.456574	4.1652594	7.5729795	8.2883
KW1-S15__k141_4906627	1.9513961	2.8421235	1.5997932	2.1465013	3.2113063	4.5704927	2.2399173
KW1-S08__k141_1131983	0.702509	0.72401434	0.60215056	4.0716844	0.10035843	0	0.021505376
KW1-S08__k141_8756011	2.480435	3.9445653	3.1257246	6.843599	3.2731884	5.651449	4.765338
KW1-S15__k141_9919842	0.2132521	0.2132521	0	0.5331302	0.10662605	1.7524753	0.4265042
KW1-S15__k141_3628530	6.9329114	7.055322	6.4819303	4.5810056	2.639294	7.0890393	6.429772
KW1-S05__k141_4929773	0.657277	1.4507042	3.4301643	0.9219484	0.4266432	1.1320423	1.0275822
KW1-S08__k141_10393222	5.085071	7.214756	5.8662786	11.964832	13.386971	11.210374	12.352485
KW1-S08__k141_10129102	2.9653473	3.6772218	4.379985	7.27528	4.7081404	5.3820763	5.604033
KW1-S21__k141_9784535	1.4715853	1.105683	2.1994019	1.998006	2.2961116	1.9541376	3.0408773
KW1-S05__k141_2132319	0.64714944	1.1209553	2.0493066	0.7550077	0.43143296	1.1864407	0.5392912
KW1-S15__k141_2832501	0.16073479	2.282434	0.96440876	3.446613	1.5292767	2.2916188	2.3386912
KW1-S15__k141_9041269	2.7033553	2.4132957	2.0388837	1.6519285	1.1414237	2.9617436	2.5315146
KW1-S15__k141_5859396	0.9928952	1.9031972	2.0648313	1.4493784	0.62166965	2.3046181	2.785968
A5-S04__k141_9550683	18.267937	37.653015	36.4727	41.01619	21.627937	25.991428	32.897144
KW1-S05__k141_9242999	0.9856997	2.1266599	3.5362616	1.2543411	0.8580184	0.30337077	0.57201225
KW1-S15__k141_5212252	0.3946731	1.0387409	0.44552058	1.330105	0.9402744	2.3204198	1.0129136
A5-S03__k141_36391	2.4020798	1.3180243	0.542461	2.220104	1.6230502	1.1663778	2.2114384
KW1-S08__k141_690962	0.39548022	0.13182674	0.13182674	1.6760828	0.30979285	0.5188324	0.527307
KW1-S08__k141_11230153	1.2198443	3.7153049	3.6666667	2.182231	2.079118	4.22179	3.3184175
A5-S03__k141_2215185	1.8240058	1.5714285	2.0007365	1.8917526	0.8136966	1.5942563	1.3497791
KW1-S08__k141_8231150	2.7061646	3.5548093	2.5665627	5.3497243	2.146078	5.0366993	3.0009594
KW1-S21__k141_2476503	0.2766832	0.7515672	0.25795814	0.33929008	0.36729625	0.21912399	10.720101
KW1-S15__k141_8588541	1.2634113	0.99965614	0.9618294	1.7785419	1.2861073	3.352132	1.8215268
KW1-S21__k141_1975885	2.3507853	0.58638746	1.4659686	3.041885	2.1884816	1.7979058	4.624084
KW1-S21__k141_4894048	0	0.2646503	0	0	0	0	1.0217391
KW1-S08__k141_997712	1.0593187	0.4488978	0.39278558	4.5807614	1.0356714	1.6865731	2.1763527
KW1-S05__k141_2081856	3.104178	2.5642974	3.8041236	5.195876	5.156267	5.339121	6.241997
KW1-S08__k141_7909699	0	0.3263158	0.14736842	1.1273685	0.4336842	1.0315789	0.29473683
