phylum,variable,value
SAR324,aprAB,1
Nitrospirota,aprAB,1
Desulfobacterota_D,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Methylomirabilota,aprAB,1
Proteobacteria,aprAB,1
Actinobacteriota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Planctomycetota,aprAB,1
Latescibacterota,aprAB,1
Krumholzibacteriota,aprAB,1
Planctomycetota,aprAB,1
SAR324,aprAB,1
Acidobacteriota,aprAB,1
Proteobacteria,aprAB,1
Bacteroidota,aprAB,1
Myxococcota,aprAB,1
Desulfobacterota_D,aprAB,1
Proteobacteria,aprAB,1
Nitrospirota,aprAB,1
Nitrospinota,aprAB,1
Planctomycetota,aprAB,1
Proteobacteria,aprAB,1
Acidobacteriota,aprAB,1
Methylomirabilota,aprAB,1
Myxococcota_A,aprAB,1
Bacteroidota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Planctomycetota,aprAB,1
Thermoproteota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Desulfobacterota_B,aprAB,1
Planctomycetota,aprAB,1
SAR324,aprAB,1
Planctomycetota,aprAB,1
Chloroflexota,aprAB,1
Tectomicrobia,aprAB,1
Myxococcota_A,aprAB,1
Acidobacteriota,aprAB,1
SAR324,aprAB,1
Chloroflexota,aprAB,1
Bacteroidota,aprAB,1
Myxococcota_A,aprAB,1
Chloroflexota,aprAB,1
Proteobacteria,aprAB,1
Verrucomicrobiota,aprAB,1
Actinobacteriota,aprAB,1
Proteobacteria,aprAB,1
Myxococcota_A,aprAB,1
Poribacteria,aprAB,1
Bacteroidota,aprAB,1
Proteobacteria,aprAB,1
Acidobacteriota,aprAB,1
Gemmatimonadota,aprAB,1
Acidobacteriota,aprAB,1
Proteobacteria,aprAB,1
Desulfobacterota_B,aprAB,1
Tectomicrobia,aprAB,1
Desulfobacterota_B,aprAB,1
Tectomicrobia,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Chloroflexota,aprAB,1
Proteobacteria,aprAB,1
Desulfobacterota_B,aprAB,1
Proteobacteria,aprAB,1
Thermoproteota,aprAB,1
Proteobacteria,aprAB,1
Chloroflexota,aprAB,1
Planctomycetota,aprAB,1
Proteobacteria,aprAB,1
Actinobacteriota,aprAB,1
Proteobacteria,aprAB,1
SAR324,aprAB,1
Gemmatimonadota,aprAB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Nitrospinota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Planctomycetota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Bacteroidota,tsdA/tsdB,1
Planctomycetota,tsdA/tsdB,1
Acidobacteriota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Acidobacteriota,tsdA/tsdB,1
Acidobacteriota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Acidobacteriota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Bacteroidota,tsdA/tsdB,1
SAR324,tsdA/tsdB,1
Nitrospirota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Methylomirabilota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
