Genome	A5-S03.filter Relative Abundance (%)	A5-S04.filter Relative Abundance (%)	KW1-S05.filter Relative Abundance (%)	KW1-S08.filter Relative Abundance (%)	KW1-S11.filter Relative Abundance (%)	KW1-S15.filter Relative Abundance (%)	KW1-S21.filter Relative Abundance (%)	average
KW1-S21_141	0.6218617	0.4669969	0.46551657	0.7453048	0.96121514	0.7310553	0.5938716	0.65511743
KW1-S21_144	0.08798149	0.08080286	0.069258474	0.069017835	0.058615573	0.069153085	0.09427575	0.075586438
KW1-S21_160	0.093004145	0.0838222	0.097228795	0.07323379	0.085979946	0.08481977	0.103892885	0.088854504
KW1-S21_168	0.22370717	0.13814907	0.19500199	0.18937115	0.20802152	0.20883374	0.22126865	0.197764756
KW1-S21_174	0.24787453	0.25544807	0.26989236	0.33645704	0.3719172	0.2906835	0.3290975	0.300195743
KW1-S21_189	0.17359546	0.09899131	0.14673796	0.16039516	0.124972045	0.18837799	0.16209725	0.150738168
KW1-S21_193	0.61123455	0.5713946	0.6368594	0.62745565	0.57258415	0.791146	0.60302967	0.630529146
KW1-S21_196	0.4233795	0.45075357	0.4681761	0.51091665	0.49360362	0.50080264	0.51692307	0.480650736
KW1-S21_197	0.35321832	0.33310884	0.35751632	0.33991826	0.33626902	0.4389383	0.38798845	0.363851073
KW1-S21_231	0.30615628	0.22881816	0.21430503	0.18927272	0.18986712	0.20639072	0.24049088	0.225042987
KW1-S21_238	0.4274211	0.4656164	0.48133558	0.5662518	0.48949862	0.47347912	0.50274956	0.48662174
KW1-S21_242	0.39528933	0.2569062	0.2916804	0.16842571	0.11531862	0.1745635	0.21965799	0.231691679
KW1-S21_260	0.45060873	0.17687185	0.31303945	0.20891535	0.14080998	0.1710166	0.24416444	0.243632343
KW1-S21_271	0.47421342	0.2830423	0.34113798	0.49886844	0.47135273	0.36472037	0.36703864	0.400053411
KW1-S21_27	0.15640786	0.12378298	0.14555658	0.13865119	0.14714122	0.1391586	0.1702947	0.145856161
KW1-S21_28	0.90203786	0.5756147	0.670801	0.3206727	0.23387034	0.3009797	0.39758614	0.485937491
KW1-S21_32	0.2890917	0.27305722	0.25509173	0.3754766	0.4851704	0.3875784	0.40011913	0.352226454
KW1-S21_52	0.18151261	0.19934408	0.17813818	0.13027093	0.121853314	0.11436753	0.1583545	0.154834449
KW1-S21_6	0.69261694	0.9061429	0.89974153	0.7467936	0.78943473	0.7782469	0.8397753	0.807535986
KW1-S21_73	0.118805654	0.09635411	0.11685843	0.103990585	0.07727241	0.11928154	0.14084296	0.110486527
KW1-S21_82	0.26315752	0.22051673	0.2947399	0.22172526	0.2606851	0.23302796	0.23915946	0.247573133
KW1-S21_85	0.36903515	0.49030343	0.44650653	0.50722873	0.54545754	0.41020605	0.53062886	0.471338041
